door_state,sphone_signal,target,ts
0,0,normal,1554061012
0,0,normal,1554061013
0,0,normal,1554061014
0,0,normal,1554061015
0,0,normal,1554061016
0,0,normal,1554061017
0,0,normal,1554061018
0,0,normal,1554061019
0,0,normal,1554061020
0,0,normal,1554061021
0,0,normal,1554061022
1,1,normal,1554061023
0,0,normal,1554061023
0,0,normal,1554061024
0,0,normal,1554061025
0,0,normal,1554061026
0,0,normal,1554061027
0,0,normal,1554061028
0,0,normal,1554061029
0,0,normal,1554061030
1,1,normal,1554061030
0,0,normal,1554061031
0,0,normal,1554061032
0,0,normal,1554061033
0,0,normal,1554061034
1,1,normal,1554061035
0,0,normal,1554061035
0,0,normal,1554061036
0,0,normal,1554061037
1,1,normal,1554061037
0,0,normal,1554061038
0,0,normal,1554061039
0,0,normal,1554061040
0,0,normal,1554061041
0,0,normal,1554061042
1,1,normal,1554061042
0,0,normal,1554061043
1,1,normal,1554061044
0,0,normal,1554061044
0,0,normal,1554061045
1,1,normal,1554061045
0,0,normal,1554061046
0,0,normal,1554061047
1,1,normal,1554061047
0,0,normal,1554061048
1,1,normal,1554061048
0,0,normal,1554061049
0,0,normal,1554061050
1,1,normal,1554061050
0,0,normal,1554061051
1,1,normal,1554061051
0,0,normal,1554061052
1,1,normal,1554061052
1,1,normal,1554061053
0,0,normal,1554061053
0,0,normal,1554061054
0,0,normal,1554061055
0,0,normal,1554061056
1,1,normal,1554061056
0,0,normal,1554061057
0,0,normal,1554061058
1,1,normal,1554061058
0,0,normal,1554061059
1,1,normal,1554061059
0,0,normal,1554061060
1,1,normal,1554061060
0,0,normal,1554061061
1,1,normal,1554061061
0,0,normal,1554061062
1,1,normal,1554061062
1,1,normal,1554061063
0,0,normal,1554061063
0,0,normal,1554061064
1,1,normal,1554061065
0,0,normal,1554061065
0,0,normal,1554061066
0,0,normal,1554061067
1,1,normal,1554061067
0,0,normal,1554061068
1,1,normal,1554061068
0,0,normal,1554061069
0,0,normal,1554061070
1,1,normal,1554061070
0,0,normal,1554061071
1,1,normal,1554061071
0,0,normal,1554061072
1,1,normal,1554061072
0,0,normal,1554061073
1,1,normal,1554061073
1,1,normal,1554061074
0,0,normal,1554061074
0,0,normal,1554061075
1,1,normal,1554061075
0,0,normal,1554061076
1,1,normal,1554061076
1,1,normal,1554061077
0,0,normal,1554061077
0,0,normal,1554061078
1,1,normal,1554061078
0,0,normal,1554061079
1,1,normal,1554061079
0,0,normal,1554061080
1,1,normal,1554061080
0,0,normal,1554061081
0,0,normal,1554061082
1,1,normal,1554061082
0,0,normal,1554061083
0,0,normal,1554061084
1,1,normal,1554061084
0,0,normal,1554061085
1,1,normal,1554061085
0,0,normal,1554061086
1,1,normal,1554061086
0,0,normal,1554061087
1,1,normal,1554061088
0,0,normal,1554061088
0,0,normal,1554061089
1,1,normal,1554061089
0,0,normal,1554061090
0,0,normal,1554061091
1,1,normal,1554061091
0,0,normal,1554061092
1,1,normal,1554061092
0,0,normal,1554061093
1,1,normal,1554061093
0,0,normal,1554061094
1,1,normal,1554061094
0,0,normal,1554061095
1,1,normal,1554061095
0,0,normal,1554061096
1,1,normal,1554061096
0,0,normal,1554061097
1,1,normal,1554061097
0,0,normal,1554061098
1,1,normal,1554061098
0,0,normal,1554061099
1,1,normal,1554061099
0,0,normal,1554061100
1,1,normal,1554061100
0,0,normal,1554061101
1,1,normal,1554061101
0,0,normal,1554061102
1,1,normal,1554061102
0,0,normal,1554061103
1,1,normal,1554061103
0,0,normal,1554061104
1,1,normal,1554061104
0,0,normal,1554061105
1,1,normal,1554061105
0,0,normal,1554061106
1,1,normal,1554061106
0,0,normal,1554061107
0,0,normal,1554061108
1,1,normal,1554061108
0,0,normal,1554061109
1,1,normal,1554061109
0,0,normal,1554061110
1,1,normal,1554061110
0,0,normal,1554061111
1,1,normal,1554061111
0,0,normal,1554061112
1,1,normal,1554061112
0,0,normal,1554061113
1,1,normal,1554061113
0,0,normal,1554061114
1,1,normal,1554061114
0,0,normal,1554061115
1,1,normal,1554061115
0,0,normal,1554061116
1,1,normal,1554061116
0,0,normal,1554061117
1,1,normal,1554061117
0,0,normal,1554061118
1,1,normal,1554061118
0,0,normal,1554061119
1,1,normal,1554061119
0,0,normal,1554061120
1,1,normal,1554061120
0,0,normal,1554061121
1,1,normal,1554061121
0,0,normal,1554061122
1,1,normal,1554061122
0,0,normal,1554061123
1,1,normal,1554061123
0,0,normal,1554061124
0,0,normal,1554061125
1,1,normal,1554061125
0,0,normal,1554061126
1,1,normal,1554061126
0,0,normal,1554061127
1,1,normal,1554061127
1,1,normal,1554061128
0,0,normal,1554061128
0,0,normal,1554061129
1,1,normal,1554061130
0,0,normal,1554061130
0,0,normal,1554061131
1,1,normal,1554061131
1,1,normal,1554061132
0,0,normal,1554061132
1,1,normal,1554061133
0,0,normal,1554061133
0,0,normal,1554061134
1,1,normal,1554061134
0,0,normal,1554061135
1,1,normal,1554061135
0,0,normal,1554061136
1,1,normal,1554061136
0,0,normal,1554061137
1,1,normal,1554061137
0,0,normal,1554061138
1,1,normal,1554061138
0,0,normal,1554061139
1,1,normal,1554061139
0,0,normal,1554061140
1,1,normal,1554061140
1,1,normal,1554061141
0,0,normal,1554061141
0,0,normal,1554061142
1,1,normal,1554061142
0,0,normal,1554061143
1,1,normal,1554061143
0,0,normal,1554061144
1,1,normal,1554061144
0,0,normal,1554061145
1,1,normal,1554061145
0,0,normal,1554061146
1,1,normal,1554061146
0,0,normal,1554061147
1,1,normal,1554061147
0,0,normal,1554061148
1,1,normal,1554061148
0,0,normal,1554061149
1,1,normal,1554061149
0,0,normal,1554061150
0,0,normal,1554061151
1,1,normal,1554061151
0,0,normal,1554061152
1,1,normal,1554061152
1,1,normal,1554061153
0,0,normal,1554061153
1,1,normal,1554061154
0,0,normal,1554061154
0,0,normal,1554061155
1,1,normal,1554061155
0,0,normal,1554061156
1,1,normal,1554061156
0,0,normal,1554061157
1,1,normal,1554061157
0,0,normal,1554061158
1,1,normal,1554061158
0,0,normal,1554061159
1,1,normal,1554061159
0,0,normal,1554061160
1,1,normal,1554061160
0,0,normal,1554061161
1,1,normal,1554061161
0,0,normal,1554061162
1,1,normal,1554061162
0,0,normal,1554061163
0,0,normal,1554061164
1,1,normal,1554061164
0,0,normal,1554061165
0,0,normal,1554061166
1,1,normal,1554061166
0,0,normal,1554061167
1,1,normal,1554061167
0,0,normal,1554061168
1,1,normal,1554061168
0,0,normal,1554061169
1,1,normal,1554061169
0,0,normal,1554061170
1,1,normal,1554061170
0,0,normal,1554061171
1,1,normal,1554061171
0,0,normal,1554061172
1,1,normal,1554061172
0,0,normal,1554061173
1,1,normal,1554061173
0,0,normal,1554061174
1,1,normal,1554061174
0,0,normal,1554061175
1,1,normal,1554061175
0,0,normal,1554061176
1,1,normal,1554061176
0,0,normal,1554061177
1,1,normal,1554061177
0,0,normal,1554061178
1,1,normal,1554061178
0,0,normal,1554061179
1,1,normal,1554061179
0,0,normal,1554061180
1,1,normal,1554061180
0,0,normal,1554061181
1,1,normal,1554061181
0,0,normal,1554061182
1,1,normal,1554061182
0,0,normal,1554061183
1,1,normal,1554061183
0,0,normal,1554061184
1,1,normal,1554061184
1,1,normal,1554061185
0,0,normal,1554061185
1,1,normal,1554061186
0,0,normal,1554061186
0,0,normal,1554061187
1,1,normal,1554061187
0,0,normal,1554061188
1,1,normal,1554061188
0,0,normal,1554061189
1,1,normal,1554061189
0,0,normal,1554061190
1,1,normal,1554061190
0,0,normal,1554061191
1,1,normal,1554061191
0,0,normal,1554061192
1,1,normal,1554061192
0,0,normal,1554061193
1,1,normal,1554061193
0,0,normal,1554061194
1,1,normal,1554061194
1,1,normal,1554061195
0,0,normal,1554061195
0,0,normal,1554061196
1,1,normal,1554061196
0,0,normal,1554061197
1,1,normal,1554061197
0,0,normal,1554061198
1,1,normal,1554061198
0,0,normal,1554061199
1,1,normal,1554061199
0,0,normal,1554061200
1,1,normal,1554061200
0,0,normal,1554061201
1,1,normal,1554061201
0,0,normal,1554061202
1,1,normal,1554061202
0,0,normal,1554061203
1,1,normal,1554061203
0,0,normal,1554061204
1,1,normal,1554061204
0,0,normal,1554061205
1,1,normal,1554061205
0,0,normal,1554061206
1,1,normal,1554061206
0,0,normal,1554061207
1,1,normal,1554061207
0,0,normal,1554061208
1,1,normal,1554061208
0,0,normal,1554061209
1,1,normal,1554061209
1,1,normal,1554061210
0,0,normal,1554061210
0,0,normal,1554061211
1,1,normal,1554061211
0,0,normal,1554061212
1,1,normal,1554061212
1,1,normal,1554061213
0,0,normal,1554061213
1,1,normal,1554061214
0,0,normal,1554061214
0,0,normal,1554061215
1,1,normal,1554061215
0,0,normal,1554061216
1,1,normal,1554061216
0,0,normal,1554061217
1,1,normal,1554061217
0,0,normal,1554061218
1,1,normal,1554061218
0,0,normal,1554061219
1,1,normal,1554061219
0,0,normal,1554061220
1,1,normal,1554061220
0,0,normal,1554061221
1,1,normal,1554061221
